#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL,STD_DEV
141,Cameron Batson,WR,FA,0,3.7,0,0,0,1.3,0,0,0.6,0.8,2.5,0.5,7.4,0,0,1.2,0,1.5,18,1.879004375
142,Brandon Powell,WR,MIN,0,0,2.7,0,0,0,0.4,0,7.3,0,0.3,6.4,0.9,0.9,0.5,1.8,0,1.2,17.6,2.175564199
143,Alshon Jeffery,WR,FA,0,0,0,0,0,0,0,0,0,0,0,1.5,0,7.5,6.3,2.2,0,2.5,17.5,2.236269137
144,KeeSean Johnson,WR,FA,0,0,2.4,0,0.5,0,0,0,0,0,0,0.7,2.7,0.9,3.8,5,1.3,2.2,17.3,1.497541237
145,Mike Thomas,WR,FA,1.7,9.1,0.9,0.5,1.3,1,5.4,0,0,0,0,0,0,0,0,0,0,1.2,17.3,2.36786444
146,Laquon Treadwell,WR,IND,0,0,0,0,0,0,BYE,0,0,0,0,0,0,6.9,1.4,7.1,1.5,3.4,16.9,2.296456169
147,Dez Bryant,WR,FA,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,7.1,6.8,0,2.8,16.7,2.276280582
147,Jeff Smith,WR,FA,0,0,0,8.1,2.3,0.8,0,2.9,0,0,0.5,0.7,0,1.4,0,0,0,1.4,16.7,1.974018086
149,Quez Watkins,WR,PIT,0,0,0,BYE,0,0,0,0,0,0,0,0,0,0.3,10,5.7,0.6,2.8,16.6,2.689301722
150,Jamal Agnew,WR,FA,0,0,2.2,0.3,0,1.7,0,1.1,0,0,1,0,2.4,1.5,2,6,2,1.2,16.2,1.495830422
151,Noah Brown,WR,HOU,0,2.8,0.9,4.3,0,1.5,0,0,0,0,0.6,0,4,0,1.7,0,0,1,15.8,1.413283497
152,Malcolm Perry,WR,FA,0,0,0,0,0,0,0,0.5,0,2.7,2.3,0.8,0,0.5,0.4,0,8.5,1.7,15.7,2.052696766
153,Auden Tate,WR,FA,0,0,2.9,1.5,1.2,0,0,6.5,0,2.4,0.5,0,0,0,0,0,0,1.7,15,1.664944901
154,Christian Blake,WR,FA,0,0,0,4.7,0,0.5,0,1.4,3.1,0,2.8,1.7,0,0,0.1,0,0,0.9,14.1,1.385241038
155,Malik Taylor,WR,NYJ,0,0,0,2,0,0,6.6,2.6,0.9,0,0,0,1.4,0,0,0,0,0.9,13.5,1.651548503
156,DeMichael Harris,WR,FA,0,0,0,0,0,2.9,0,0,5.5,2.1,2,0.3,0.3,0,0,0,0,1.8,12.5,1.478379361
157,Ray-Ray McCloud III,WR,ATL,0,0,0,0,7.5,0,1.2,0.6,1.6,0.3,2.3,1.2,0.4,0,0.2,0,0.3,0.8,12.2,1.772414536
158,Chris Hogan,WR,FA,0,7.5,0,2.3,2,0,0,0,0,0,0,0,0,0,0,0,0,2.4,11.8,1.8367076
159,Dante Pettis,WR,CHI,0,0,0,0,0,0,0,2,0,0,BYE,0,0,0,0,3.3,10.3,1.7,11.6,2.571113572
